a	- {O} - {oh (exclamation of surprise} - {regret} リグレット, 哀悼, 悔い, 悔いる, 悔恨, 慨嘆, 残念, 残念である, 思い残す, 心残り, 惜しむ, 側む, 悲しむ, 無念, 名残惜しい - {ect.)} - {By the way} 因みに, 実は, 所で - {Acre (100 square meters)}
a dua	- {To ape} - {to chime in} - {to join in} 加わる
a ha	- {Aha} - {ha} ホームオートメーション - {hurrah} - {hurray} フレー
a hoàn	- {Abigail} - {maidservant} 姐, 仕え女
a phiến	- {Opium} 阿片, 麻薬, 鴉片
a tòng	- {To act as (be) an accomplice to someone} - {to act as (be) an accessory to someone} - {to make common cause with someone}
ai	- {Who} どちら, 何者, 何奴, 何方, 誰, 孰 - {whom} - {someone} 一角の人物, 何者か, 誰か, (pronoun) 誰某, 某 - {somebody} 一角の人物, 誰か - {anyone} どなたでも, 何人, 誰でも, 誰も - {anybody} 誰でも
ai ai	- {Everyone} 一人残らず, 何人も, 皆, 皆さん, 皆様, 誰も - {everybody} 皆, 人々, 万人
ai nấy	- {each and all} - {one and all}
ai oán	- {Plaintive} 哀れっぽい, 哀調
ai đời	- {Fancy} ファンシー, 空想, 好尚
am	- {Small temple} - {small pagoda} - {hermitage} 庵, 幽居 - {secluded hut}
am hiểu	- {To realize} 気がつく, 気が付く, 気づく, 気付く, 思い知る - {to know inside out} - {to have a good command of} - {to have a thorough knowledge of} - {to be expert in (at} - {on)} - {to be well-informed about} - {to be familiar with} 見慣れる
an	- {Safe} セーフ, 金庫, 事無し - {secure} 確保, 厳に, 厳重, 手堅い, 勝ちとる
an bài	- {To preordain} - {to foreordain} - {to predestine}
an dưỡng	- {To convalesce}
an giấc	- {To sleep soundly} 春眠
an hưởng	- {To enjoy peacefully} - {to spend peacefully}
an khang	- {xem khang an}
An Nam	- {Vietnam was named An Nam under the Chinese and French dominations}
an nghỉ	- {To rest in peace and quiet}
an nhàn	- {Leisured} - {leisurely} 気長, 優長, 悠々, 悠悠
an ninh	- {Security} セキュリティ, セキュリティー, 安全, 安全保障, 安泰, 安保, 引き当て, 機密保護, 強固, 警備, 担保, 抵当, 保安, 保証, 保障, 無難, 裏付, 裏付け, 證券
an phận	- {To feel smug}
an thần	- {To act as a tranquillizer}
an toàn	- {Safe} セーフ, 金庫, 事無し
an toạ	- {To take a seat} - {to be seated}
an trí	- {To banish} - {to exile} 追放, 島流し, 亡命, 亡命者, 流刑
an táng	- {To bury} 葬る, 埋める, 埋め込む
an tâm	- {xem yên tâm}
an vị	- {To be seated}
an ủi	- {To comfort} 安楽, 安気, 慰み, 慰む, 慰め, 慰める - {to console} (computer) コンソール, 慰める, 労る
ang	- {crock} - {container for areca-nuts and betel}
anh	- {Elder brother} (my) 家兄, 兄貴 - {First cousin}
anh chị	- {Ringleader} 巨魁, 元凶, 首謀, 首謀者, 帳本人, 梟雄 - {chieftain}
anh dũng	- {Of great fortitude}
anh em	- {Brothers} ブラザーズ, 同胞, 伯叔 - {siblings} - {Mates} - {comrades} 仲間同士
anh hùng	- {Hero} ヒーロー, 偉丈夫, 英雄, 傑士, 豪傑, 仕手, 俊傑, 丈夫, 人傑, 勇士, 勇者, 竜虎 - {Heroic} ヒロイック, 英雄的, 健気, 甲斐甲斐しい, 豪快, 壮絶 - {hero-like}
anh hùng ca	- {Epic} エピック, 大作 - {saga}
anh hùng chủ nghĩa	- {Characteristic of self-seeking heroism} - {adventurous} - {reckless} 猪突猛進, 暢気, 滅多, 乱暴
anh linh	- {Hallowed memory (of a deceased person)}
anh minh	- {Clear-sighted and able}
anh nuôi	- {Male cook}
anh quân	- {Clear-sighted and able monarch}
anh thư	- {Heroine} ヒロイン, 勇婦, 烈女
anh tài	- {Luminary} - {outstanding talent} 逸材
anh ách	- {xem ách}
anh ánh	- {Gleaming} てかてか - {glimmerring}
anh đào	- {Cherry} チェリー, 桜んぼ
ao	- {Pond} 沼, 池, 溜池 - {To measure roughly} - {to measure approximately}
ao ước	- {To wish for} 求める, 望む - {to long for} 待ち焦がれる, 憧れる - {to crave for}
au	- {Bright and cheerful}
ba	- {��- Papa} - {daddy} - {Three} 三, 三つ - {third} サード, 三番 - {Several} 幾, 区々たる, 区区たる - {a few} - {a handful of} - {a number of}
ba ba	- {Trionychid turtle}
ba bó một giạ	- {A sure thing}
ba bảy	- {more than one} - {several} 幾, 区々たる, 区区たる - {a variety of}
ba bị	- {Bogey} ボギー - {bogy} - {bugbear} 変化 - {bugaboo} - {seedy} 見すぼらしい - {shabby} ボロー, 見すぼらしい, 卑しい, 侘しい - {battered} - {unprincipled} 無節操 - {knavish} - {good for nothing}
ba chỉ	- {side} サイド, 横, 横っ腹, 横合い, 横腹, 際, 側, 側ら, 側面, 偏, 方, 傍, 傍ら, 脇
ba cùng	- {Three "with" (live with} - {eat with and work with)}
ba gai	- {rowdy} 悪たれ - {unruly}
ba giăng	- {Three-month growth rice}
ba gác	- {tricycle} トライシクル - {trike}
