a	- {O} - {oh (exclamation of surprise} - {regret} lamentar (to -),sentir (to -) - {ect.)} - {By the way} - {Acre (100 square meters)}
a dua	- {To ape} mono - {to chime in} - {to join in}
a ha	- {Aha} - {ha} - {hurrah} viva - {hurray}
a hoàn	- {Abigail} - {maidservant} criada
a phiến	- {Opium} opio
a tòng	- {To act as (be) an accomplice to someone} - {to act as (be) an accessory to someone} - {to make common cause with someone}
ai	- {Who} quien - {whom} a quien,quien,quién - {someone} alguien - {somebody} alguien - {anyone} alguien - {anybody} alguien
ai ai	- {Everyone} todo el mundo - {everybody} todos
ai nấy	- {each and all} - {one and all}
ai oán	- {Plaintive} lastimero
ai đời	- {Fancy} de fantasía,elegante
am	- {Small temple} - {small pagoda} - {hermitage} ermita - {secluded hut}
am hiểu	- {To realize} comprender (to -),darse cuenta (to -) - {to know inside out} - {to have a good command of} - {to have a thorough knowledge of} - {to be expert in (at} - {on)} - {to be well-informed about} - {to be familiar with}
an	- {Safe} seguro - {secure} afianzar (to -)
an bài	- {To preordain} - {to foreordain} preordenar (to -) - {to predestine}
an dưỡng	- {To convalesce} convalecer (to -)
an giấc	- {To sleep soundly}
an hưởng	- {To enjoy peacefully} - {to spend peacefully}
an khang	- {xem khang an}
An Nam	- {Vietnam was named An Nam under the Chinese and French dominations}
an nghỉ	- {To rest in peace and quiet}
an nhàn	- {Leisured} - {leisurely} pausadamente
an ninh	- {Security} garantía,seguridad
an phận	- {To feel smug}
an thần	- {To act as a tranquillizer}
an toàn	- {Safe} seguro
an toạ	- {To take a seat} - {to be seated}
an trí	- {To banish} desterrar (to -) - {to exile} destierro,exilio
an táng	- {To bury} enterrar
an tâm	- {xem yên tâm}
an vị	- {To be seated}
an ủi	- {To comfort} consuelo - {to console}
ang	- {crock} vasija de barro - {container for areca-nuts and betel}
anh	- {Elder brother} - {First cousin}
anh chị	- {Ringleader} jefe de una banda - {chieftain} cabecilla
anh dũng	- {Of great fortitude}
anh em	- {Brothers} - {siblings} - {Mates} - {comrades}
anh hùng	- {Hero} héroe - {Heroic} heroico - {hero-like}
anh hùng ca	- {Epic} épico - {saga}
anh hùng chủ nghĩa	- {Characteristic of self-seeking heroism} - {adventurous} aventurado - {reckless} temerario
anh linh	- {Hallowed memory (of a deceased person)}
anh minh	- {Clear-sighted and able}
anh nuôi	- {Male cook}
anh quân	- {Clear-sighted and able monarch}
anh thư	- {Heroine} heroína
anh tài	- {Luminary} luminaria - {outstanding talent}
anh ách	- {xem ách}
anh ánh	- {Gleaming} - {glimmerring}
anh đào	- {Cherry} cereza
ao	- {Pond} estanque - {To measure roughly} - {to measure approximately}
ao ước	- {To wish for} - {to long for} - {to crave for}
au	- {Bright and cheerful}
ba	- {��- Papa} - {daddy} papá - {Three} tres - {third} tercero - {Several} varios - {a few} - {a handful of} - {a number of}
ba ba	- {Trionychid turtle}
ba bó một giạ	- {A sure thing}
ba bảy	- {more than one} - {several} varios - {a variety of}
ba bị	- {Bogey} - {bogy} - {bugbear} - {bugaboo} - {seedy} granado - {shabby} gastado - {battered} abollado - {unprincipled} inmoral - {knavish} - {good for nothing}
ba chỉ	- {side} lado
ba cùng	- {Three "with" (live with} - {eat with and work with)}
ba gai	- {rowdy} camorrista - {unruly} indócil
ba giăng	- {Three-month growth rice}
ba gác	- {tricycle} triciclo - {trike}
ba hoa	- {to brag} jactarse (to -) - {to boast} jactarse (to -) - {to prate} - {to blabber}
ba lá	- {three-blade}
ba láp	- {nonsensical} sin sentido - {senseless} insensato
ba lăng nhăng	- {Idle} en reposo,ocioso - {worthless} sin valor - {meaningless} sin sentido - {trashy} de mala calidad
ba lơn	- {(khẩu ngữ) như bông lơn}
ba mươi	- {the thirtieth day of the lunar month}
ba ngày	- {Three days (after burial)}
ba ngôi	- {(tôn giáo) The trinity}
ba phải	- {Agreeing with everyone}
ba que	- {Deceitful} engañoso - {cheating} - {dishonest} ímprobo - {tricky}
ba rọi	- {Side} lado - {Half-serious half-facetious} - {serio-comic}
ba sinh	- {The three existences} - {eternal love}
ba tháng	- {(địa phương) như ba giăng}
ba tiêu	- {Banana-tree}
ba trợn	- {Unruly} indócil
ba vạ	- {run-down} - {uncared-for}
ba xuân	- {(cũ) Parents (whose merits are comparable with the three Spring months)}
ba đào	- {Big wave} - {ups and downs}
ba đầu sáu tay	- {Superhuman strength (abilitỵ..)}
ba đờ xuy	- {overcoat} abrigo
bai	- {Trowel} - {Spade} azada - {To loose} flojo,suelto - {to stretch} estirar (to -),estiramiento
ban	- {Time} duración,hora,tiempo - {(y học) Rash} - {Ball} pelota - {(thực vật) Bauhinia} - {Shift} cambiar (de marcha) (to -),desplazar (to -),turno
ban bố	- {To promulgate}
ban chiều	- {Afternoon} tarde - {in the afternoon}
ban công	- {Balcony} balcón
ban hành	- {To promulgate} - {to enforce} dar fuerza (to -),imponer (to -),obligar (to -)
ban khen	- {To felicitate} felicitar (to -) - {to commend} encomendar (to -) - {to congratulate} felicitar (to -) - {to praise} alabanza
ban long	- {Jelly (glue) made from antlers}
ban mai	- {Early morning}
ban nãy	- {A little while ago} - {just now}
ban phát	- {To distribute} distribuir (to -) - {to dispense} distribuir (to -)
ban sáng	- {This morning} - {in the morning}
ban sơ	- {Beginning stage} - {outset} salida
ban thưởng	- {To reward} recompensa - {to grant a reward to} - {to bestow a reward on}
ban thứ	- {(cũ) Hierarhy}
ban trưa	- {Midday} mediodía - {noon} mediodía - {at noon}
ban tặng	- {To award} - {to grant} concesión
ban ân	- {Như ban ơn}
ban đầu	- {At first} - {Initial} inicial
ban ơn	- {To bestow favours} - {to grant a boon (a favour)}
bang	- {State} afirmar (to -),estado - {Chinese colony}
bang giao	- {To entertain international relations}
bang trợ	- {To aid} ayuda - {to help} ayudar (to -),ayuda,socorro
bang tá	- {Assistant district chief}
banh	- {Prison cell} - {Ball} pelota - {To open wide} - {to force open}
bao	- {bag} bolsa - {sack} saco - {Box} caja - {packet} paquete (de datos) - {Waist bag} - {support} apoyar (to -),mantener (to -),apoyo
bao biện	- {To act as a Pooh-Bah}
bao bì	- {Wrapping} envoltura - {packing} embalaje,envase
bao bọc	- {To enclose} contener (to -),encerrar (to -)
bao che	- {To screen} filtro - {to shield} blindaje,escudo
bao chiếm	- {To appropriate} apropiado
bao cấp	- {chế độ bao cấp System of budget subsidies}
bao dung	- {generous} generoso - {magnanimous} magnánimo
bao giờ	- {When} cuando,cuándo - {Ever} alguna vez
bao gồm	- {to include} incluir (to -) - {to embrace} abrazar (to -) - {to comprise} comprender (to -)
bao hàm	- {to imply} implicar (to -)
bao la	- {immense} inmenso - {infinite} infinito - {limitless} ilimitado
bao lăm	- {Not much}
bao lơn	- {Balcony} balcón
bao nhiêu	- {How much} cuánto - {how many} - {Any} cualquier - {any number} - {any amount} - {So much} - {so many}
bao phủ	- {To wrap} envolver (to -),envoltura - {to cover} cubrir (to -),recubrir (to -),revestir (to -) - {to envelop} envolver (to -)
bao quanh	- {To circle} círculo - {to encompass} rodear
bao quát	- {To embrace} abrazar (to -) - {To see the whole of} - {to grasp the whole}
bao tay	- {Glove} guante
bao thơ	- {Envelope}
bao thầu	- {To take a building contract} - {to bid on}
bao trùm	- {To cover the whole of}
bao tải	- {Bag} bolsa - {jute bag}
bao tử	- {Stomach} estómago - {Foetus} - {embryo} embrión
bao vây	- {to surround} circundar (to -),rodear - {to encircle} cercar (to -) - {to blockade} bloqueo - {to besiege} sitiar - {to lay a siege to}
bay	- {To fly} volar (to -),mosca - {To fade} marchitarse (to -) - {to go} ir (to -),marchar (to -) - {To fail (in an examination)}
bay biến	- {Like blazes} - {like hell}
bay bướm	- {polished} - {flowery} - {refined} refinado
bay bổng	- {Fly very high} - {High-faluting}
bay chuyền	- {Fly from... tọ.}
bay hơi	- {to evaporate} evaporar (to -)
bay la	- {Fly very low}
bay lượn	- {hover (of a bird)} - {glide (of an aeroplane)}
bay màu	- {Fade} marchitarse (to -)
bay mùi	- {Lose perfume}
bay nhảy	- {To fly high}
be	- {Wine flask} - {Beige} crema - {To build mud embankments on} - {To surround with hands top of heaped vessel (to secure the fullest measure)}
be be	- {Bleat (of a goat)}
be bé	- {Smallish}
be bét	- {Crushed to pulp} - {In a complete mess}
bem	- {Secret} secreto
beng	- {To cut} terminal de unidad de control (abbr. for control unit terminal) - {to cut off} - {Topsy-turvy} - {pell-mell}
beo	- {Panther} pantera - {Scraggy} - {To pinch} apuro
beo béo	- {Fattish}
bi	- {Marble} mármol - {Ball} pelota - {Tragic} trágico
bi ai	- {Woeful}
bi ba bi bô	- {xem bi bô (láy)}
bi bô	- {To lisp} ceceo
bi ca	- {Elegy}
bi chí	- {Epitaph} epitafio
bi cảm	- {Moving} mudanza - {touching} palpación
bi hài kịch	- {Tragi-comedy}- {Tragi-comedy}
bi hùng	- {như bi tráng}
bi khúc	- {Elegy}
bi kịch	- {Tragedy} tragedia
bi quan	- {pessimistic} pesimista
bi thiết	- {Doleful} triste
bi thương	- {Sorrowful} afligido
