偏旁	piānpáng<br>RADICALS HOMEPAGE<br>①<br>⼀ · ⼁ · ⼂ · ⼃ · ⼄ · ⼅<br>②<br>⼆ · ⼇ · ⼈ · ⼉ · ⼊ · ⼋ · ⼌ · ⼍ · ⼎ · ⼏ · ⼐ · ⼑ · ⼒ · ⼓ · ⼔ · ⼕ · ⼖ · ⼗ · ⼘ · ⼙ · ⼚ · ⼛ · ⼜<br>③<br>⼝ · ⼞ · ⼟ · ⼠ · ⼡ · ⼢ · ⼣ · ⼤ · ⼥ · ⼦ · ⼧ · ⼨ · ⼩ · ⼪ · ⼫ · ⼬ · ⼭ · ⼮ · ⼯ · ⼰ · ⼱ · ⼲ · ⼳ · ⼴ · ⼵ · ⼶ · ⼷ · ⼸ · ⼹ · ⼺ · ⼻<br>④<br>⼼ · ⼽ · ⼾ · ⼿ · ⽀ · ⽁ · ⽂ · ⽃ · ⽄ · ⽅ · ⽆ · ⽇ · ⽈ · ⽉ · ⽊ · ⽋ · ⽌ · ⽍ · ⽎ · ⽏ · ⽐ · ⽑ · ⽒ · ⽓ · ⽔ · ⽕ · ⽖ · ⽗ · ⽘ · ⽙ · ⽚ · ⽛ · ⽜ · ⽝<br>⑤<br>⽞ · ⽟ · ⽠ · ⽡ · ⽢ · ⽣ · ⽤ · ⽥ · ⽦ · ⽧ · ⽨ · ⽩ · ⽪ · ⽫ · ⽬ · ⽭ · ⽮ · ⽯ · ⽰ · ⽱ · ⽲ · ⽳ · ⽴<br>⑥<br>⽵ · ⽶ · ⽷ · ⽸ · ⽹ · ⽺ · ⽻ · ⽼ · ⽽ · ⽾ · ⽿ · ⾀ · ⾁ · ⾂ · ⾃ · ⾄ · ⾅ · ⾆ · ⾇ · ⾈ · ⾉ · ⾊ · ⾋ · ⾌ · ⾍ · ⾎ · ⾏ · ⾐ · ⾑<br>⑦<br>⾒ · ⾓ · ⾔ · ⾕ · ⾖ · ⾗ · ⾘ · ⾙ · ⾚ · ⾛ · ⾜ · ⾝ · ⾞ · ⾟ · ⾠ · ⾡ · ⾢ · ⾣ · ⾤ · ⾥<br>⑧<br>⾦ · ⾧ · ⾨ · ⾩ · ⾪ · ⾫ · ⾬ · ⾭ · ⾮<br>⑨<br>⾯ · ⾰ · ⾱ · ⾲ · ⾳ · ⾴ · ⾵ · ⾶ · ⾷ · ⾸ · ⾹<br>⑩<br>⾺ · ⾻ · ⾼ · ⾽ · ⾾ · ⾿ · ⿀ · ⿁<br>⑪<br>⿂ · ⿃ · ⿄ · ⿅ · ⿆ · ⿇<br>⑫<br>⿈ · ⿉ · ⿊ · ⿋<br>⑬<br>⿌ · ⿍ · ⿎ · ⿏<br>⑭<br>⿐ · ⿑<br>⑮<br>⿒<br>⑯<br>⿓ · ⿔<br>⑰<br>⿕<br>WITH NAMES 有名字<br>⼀ · ⼂ · ⼇ · ⼈ · ⼉ · ⼊ · ⼋ · ⼌ · ⼍ · ⼎ · ⼏ · ⼐ · ⼑ · ⼒ · ⼓ · ⼔ · ⼕ · ⼗ · ⼙ · ⼚ · ⼛ · ⼜ · ⼝ · ⼞ · ⼟ · ⼠ · ⼡ · ⼣ · ⼤ · ⼥ · ⼦ · ⼧ · ⼨ · ⼩ · ⼫ · ⼭ · ⼯ · ⼱ · ⼲ · ⼴ · ⼵ · ⼶ · ⼸ · ⼺ · ⼻ · ⼼ · ⼽ · ⼾ · ⼿ · ⽁ · ⽄ · ⽅ · ⽇ · ⽉ · ⽊ · ⽋ · ⽌ · ⽎ · ⽔ · ⽕ · ⽖ · ⽙ · ⽜ · ⽝ · ⽟ · ⽥ · ⽦ · ⽧ · ⽨ · ⽩ · ⽪ · ⽫ · ⽬ · ⽯ · ⽰ · ⽲ · ⽳ · ⽴ · ⽵ · ⽶ · ⽷ · ⽹ · ⽺ · ⽻ · ⽼ · ⽿ · ⾆ · ⾈ · ⾉ · ⾋ · ⾍ · ⾐ · ⾒ · ⾔ · ⾙ · ⾛ · ⾜ · ⾞ · ⾟ · ⾡ · ⾢ · ⾣ · ⾥ · ⾦ · ⾨ · ⾩ · ⾫ · ⾬ · ⾭ · ⾴ · ⾷ · ⾺ · ⿃
一	yī<br>Variant of radical ⼀ (<b>one</b>)<br>EXAMPLES 王·丁·七·三<br><br>HOMEPAGE ► 偏旁
一字旁	yīzìpáng<br>Name of radical number 1 ⼀<br>MEANING <b>one</b><br>EXAMPLES 王·丁·七·三<br><br>HOMEPAGE ► 偏旁
⼀	yī<br>Kangxi radical number 1<br>NAME 一字旁 yīzìpáng<br>VARIANTS 一<br>STANDALONE 一<br>MEANING <b>one</b><br>EXAMPLES 王·丁·七·三<br>RANK 88.5%<br>DISTINGHUISH FROM 乛·亠·冖·宀<br>NOTES <i> Characters are classified here when they have a horizontal stroke and don't fit under any other radicals</i><br><br>HOMEPAGE ► 偏旁
丨	gǔn<br>Variant of radical ⼁ (<b>line</b>)<br>EXAMPLES 十·中·串·丰<br><br>HOMEPAGE ► 偏旁
⼁	gǔn<br>Kangxi radical number 2<br>NAME  <br>VARIANTS 丨<br>MEANING <b>line</b><br>EXAMPLES 十·中·串·丰<br>RANK 66.3%<br>DISTINGHUISH FROM 亅<br>NOTES <i> Now simply called shu4 - 竖, which means vertical stroke, see gun3</i><br><br>HOMEPAGE ► 偏旁
⺀	zhǔ<br>Variant of radical ⼂ (<b>dot</b>)<br>EXAMPLES 丸·凡·丹·户<br><br>HOMEPAGE ► 偏旁
丶	zhǔ<br>Variant of radical ⼂ (<b>dot</b>)<br>EXAMPLES 丸·凡·丹·户<br><br>HOMEPAGE ► 偏旁
丶字旁	zhǔzìpáng<br>Name of radical number 3 ⼂<br>MEANING <b>dot</b><br>EXAMPLES 丸·凡·丹·户<br><br>HOMEPAGE ► 偏旁
⼂	zhǔ<br>Kangxi radical number 3<br>NAME 丶字旁 zhǔzìpáng<br>VARIANTS ⺀·丶<br>MEANING <b>dot</b><br>EXAMPLES 丸·凡·丹·户<br>RANK 63.1%<br><br>HOMEPAGE ► 偏旁
丿	piě<br>Variant of radical ⼃ (<b>slash</b>)<br>EXAMPLES 乂·乃·久·八<br><br>HOMEPAGE ► 偏旁
乀	piě<br>Variant of radical ⼃ (<b>slash</b>)<br>EXAMPLES 乂·乃·久·八<br><br>HOMEPAGE ► 偏旁
乁	piě<br>Variant of radical ⼃ (<b>slash</b>)<br>EXAMPLES 乂·乃·久·八<br><br>HOMEPAGE ► 偏旁
⼃	piě<br>Kangxi radical number 4<br>NAME  <br>VARIANTS 丿·乀·乁<br>MEANING <b>slash</b><br>EXAMPLES 乂·乃·久·八<br>RANK 76.3%<br>NOTES <i> general stroke, sometimes means falling</i><br><br>HOMEPAGE ► 偏旁
⺂	yǐ<br>Variant of radical ⼄ (<b>second</b>)<br>EXAMPLES 九·乞·也<br><br>HOMEPAGE ► 偏旁
⺃	yǐ<br>Variant of radical ⼄ (<b>second</b>)<br>EXAMPLES 九·乞·也<br><br>HOMEPAGE ► 偏旁
⺄	yǐ<br>Variant of radical ⼄ (<b>second</b>)<br>EXAMPLES 九·乞·也<br><br>HOMEPAGE ► 偏旁
乙	yǐ<br>Variant of radical ⼄ (<b>second</b>)<br>EXAMPLES 九·乞·也<br><br>HOMEPAGE ► 偏旁
乚	yǐ<br>Variant of radical ⼄ (<b>second</b>)<br>EXAMPLES 九·乞·也<br><br>HOMEPAGE ► 偏旁
乛	yǐ<br>Variant of radical ⼄ (<b>second</b>)<br>EXAMPLES 九·乞·也<br><br>HOMEPAGE ► 偏旁
⼄	yǐ<br>Kangxi radical number 5<br>NAME  <br>VARIANTS ⺂·⺃·⺄·乙·乚·乛<br>STANDALONE 乙<br>MEANING <b>second</b><br>EXAMPLES 九·乞·也<br>MNEMONIC <i> possibly represents a sprout</i><br>RANK 52.7%<br><br>HOMEPAGE ► 偏旁
亅	jué<br>Variant of radical ⼅ (<b>hook</b>)<br>EXAMPLES 了·矛·事<br><br>HOMEPAGE ► 偏旁
𠄌	jué<br>Variant of radical ⼅ (<b>hook</b>)<br>EXAMPLES 了·矛·事<br><br>HOMEPAGE ► 偏旁
